formula,space_group
Na8Al6Si6S1O28,195
Na8Al6Si6Br1Cl1O24,195
Na8Al6Si6I1Cl1O24,195
Fe1Bi25O40,195
Co1Bi25O40,195
Li40B56Cl8O100,196
Ca56Al48Zn16O140,196
Sr8Ru12Cl2O36,197
La8Re12O38,197
Ba8Ir12O36,197
La8Ru12O38,197
La8Os12O38,197
Nd8Os12O38,197
Ba8Os12Cl2O36,197
Yb24Cd144,197
Ge2Bi24O40,197
Pr8Re12O38,197
Si2Bi24O40,197
Ti2Bi24O40,197
Nd8Re12O38,197
Bi24As2O40,197
Bi24Pb2O40,197
K14Be24P24O96,197
Co2Bi24O40,197
Bi24P2O40,197
Ga2Bi24O40,197
Bi26O40,197
Al2Bi24O40,197
Bi24Sb2O40,197
Mn2Bi24O40,197
Bi24Ru2O40,197
Bi24B2O40,197
Dy2Bi24O40,197
Y2Bi24O40,197
Ho2Bi24O40,197
Er2Bi24O40,197
Yb2Bi24O40,197
Zn2Bi24O40,197
Ni2Bi24O40,197
Na2Bi24O40,197
Be2Bi24O40,197
Li2Bi24O40,197
Ce8Re12O38,197
Bi24Ir2O40,197
Ca8Rh12Pb38,197
Yb8Rh12Pb38,197
Nd8Rh12Pb38,197
Sm8Rh12Pb38,197
Y8Rh12Pb38,197
Bi24O36,197
U24C48O128,197
H12N4,198
Na4Cl4O12,198
Li4V4F12,198
Cs8Sr8Li12B12P24O96,198
Na8Mg8P12N4O36,198
Rb4Mg4B4O12,198
Ga4Pt4,198
Ga4Pd4,198
Si4Tc4,198
Hf4Sb4,198
Ni4As4Se4,198
Ni4Sb4Se4,198
As4Pd4S4,198
As4Pd4Se4,198
Sb4Te4Pd4,198
Al4Pt4,198
Bi4Pd4Se4,198
Sb4Ir4Se4,198
Eu4P4Ir4,198
Yb12Gd4Sb12,198
Bi4Rh4Se4,198
Ba4Si4Pt4,198
Nd4Si4Ir4,198
Sb4Te4Ir4,198
Eu4Si4Pd4,198
P4Rh4Se4,198
Ba4Si4Pd4,198
La4Si4Rh4,198
Bi4Ir4Se4,198
Eu4Si4Pt4,198
Bi4Pt4Se4,198
K4Mg4B4O12,198
Cs4Cd4B4O12,198
Cs12Sb4Se12,198
K12As4S12,198
Na12Sb4Se12,198
Rb12Sb4S12,198
Na12Sb4S12,198
Cs12Sb4S12,198
K12Sb4S12,198
Sr8P28I4,198
Sr8P28Br4,198
B4P4H16N4O16F4,198
Cs8Li12B12P24Pb8O96,198
Hg24P16Pb4Cl24,198
Cs8Cd8Mo12O48,198
Cs36Fe8Se28,198
Na4U4N12O44,198
Co4H72C4N24Cl4O12,198
Cs4Na8H12S12O48,198
Tl8Ni8Mo12O48,198
Pr4Si4Ir4,198
Rb8Ni8S12O48,198
Rb8Mg8S12O48,198
Rb8Mn8Be12F48,198
Rb8Mg8Be12F48,198
Rb8Ca8Be12F48,198
Rb8Be12Zn8F48,198
Rb8Be12Ni8F48,198
Rb8Cd8Mo12O48,198
Rb8Mg8Mo12O48,198
Mn8Be12Tl8F48,198
Mn8Tl8S12O48,198
Mg8Be12Tl8F48,198
Mn8Tl8Mo12O48,198
K8Zr4Fe4P12O48,198
K8Sc4Sn4As12O48,198
K8Cr8P12O48,198
Cs4Cu4Te4S12,198
Cs8Ca8S12O48,198
Cs8Mn8Mo12O48,198
Cs8Mg8Mo12O48,198
Be12Tl8Ni8F48,198
Al4Ag36Se24,198
Te4Pt4Pb4,198
Sn4Te4Pt4,198
Sn4Pt4Se4,198
Sb4Te4Rh4,198
P4Rh4S4,198
P4Ir4S4,198
N8O4,198
Mo12Pd4Pt4N4,198
K4Ba4Cr8P12O48,198
Ge4Te4Pt4,198
K8Ti4Cr4P12O48,198
Co4P4S4,198
Bi4Te4Ir4,198
Bi4Te4Rh4,198
As4Rh4Se4,198
As4Rh4S4,198
As4Ir4Se4,198
As4Ir4S4,198
Rb8Mn8S12O48,198
Mg4Pt4,198
Sr4P4Ir4,198
Mg8Tl8Mo12O48,198
K8Mg8Be12F48,198
Rb8Be12Cd8F48,198
K36Ni8O28,198
Mn4Si4,198
K36Fe8S28,198
Al4Au16,198
K12Sb4O12,198
K12Sb4Se12,198
Rb12Sb4Se12,198
K12As4Se12,198
Si4Ru4,198
Eu4Ge4Pt4,198
Sr4Ge4Pt4,198
Ba4P4Pt4,198
Ce4Si4Ir4,198
K8Co8S12O48,198
Ba4Ge4Pt4,198
In32Cl32,198
Na4Br4O12,198
Ca4Mg4Ni4H16,198
Ga4Ag36Se24,198
P8Pb12S32,198
Na12P24N44,198
Re8Bi24O64,198
K12Bi4Se12,198
Bi4Te4Pd4,198
Rb12Bi4Se12,198
K12Bi4Te12,198
Cs12Bi4O12,198
Cs4Xe4F28,198
Rb12Bi4O12,198
Bi4Te4Pt4,198
Be4Au4,198
Ba32Ga28,198
Sr32Ga28,198
Sn4Rh4,198
Zr4S4O4,198
La4Si4Ir4,198
Ni4Sb4S4,198
Ni4As4S4,198
Sb4Pd4Se4,198
Ca4Si4Pt4,198
Tl12Sb4Se12,198
Ni4P4S4,198
K8Fe4Sn4P12O48,198
K8Y4Zr4P12O48,198
Tc8Bi24O64,198
Na8Mo4Se4O24,198
Rb8Ca8S12O48,198
K12V4O16,198
K24Nb4As12O4,198
Cs8Ca8Be12F48,198
Cs12Sb4O12,198
K12Sb4Te12,198
Sn4Hg24As16Br24,198
Sn4Hg24P16Cl24,198
Zr4Sb4,198
Sn4Hg28P16Br24,198
Sn4Hg28As16I24,198
Cs12Bi4Se12,198
Na12As4S12,198
K8Rb4Bi4Se12,198
K8Mg8S12O48,198
Sr4Mg4Ni4H16,198
Rb8Cd8S12O48,198
K8Lu4Zr4P12O48,198
K8Ti4Al4P12O48,198
Na12Al4P12N4O36,198
Li8Mn12Zn4O32,198
Al4Pd4,198
K4Ba4Fe8P12O48,198
Co4Si4,198
Li8Ti12Co4O32,198
Rb12Sb4O12,198
Li8Co4Ge12O32,198
Li8Mg4Ti12O32,198
Li8Ti12Zn4O32,198
Li8Ti12Mn4O32,198
Re4Si4,198
Ba4As4Pt4,198
Ag28P4Se24,198
Sb4Ir4S4,198
Na12As4Se12,198
Fe4Si4,198
Sr4Si4Pd4,198
Ba4P4Ir4,198
Sr4Si4Pt4,198
N8,198
Be12Tl8Zn8F48,198
Rb8Y8P12O48,198
Rb8Yb4Ti4P12O48,198
Ag4Cl4O12,198
Li4Sb4F16,198
Hg12Cl16O4,198
K36Fe8O28,198
Mn8H32S12N8O48,198
Ag28P4S24,198
Rb8Er4Ti4P12O48,198
K8Be12Ni8F48,198
Be12Tl8Cd8F48,198
K8Yb4Ti4P12O48,198
K8Y4Hf4P12O48,198
Li12La8H24N36O120,198
Yb4Mg4Ni4H16,198
K8Er8P12O48,198
Na24Zn12As16H24O76,198
Ag28As4S24,198
Li8Mn12Co4O32,198
Cs4Ba4In8P12O48,198
Ag28As4Se24,198
Na12Sb4H72S16O36,198
Co4Ge4,198
Cs8Zr4Mn4P12O48,198
Li12Nd8H24N36O120,198
K8Ti8P12O48,198
Sb4Pt4Se4,198
K8Y4Ti4P12O48,198
K8Y8P12O48,198
Sn8Cl4F12,198
Hf4S4O4,198
Sb4As4Pd4,198
Na24Zn12P16H24O76,198
Rb8Ti8P12O48,198
Fe4Mo12Pt4N4,198
Sr32Al28,198
K8Er4Ti4P12O48,198
K8Be12Zn8F48,198
Li12Sb4H72S16O36,198
K8Al4Sn4P12O48,198
K8Pr4Zr4P12O48,198
Na12As4H72Se16O36,198
Hg12As4Cl4O16,198
K8Yb8P12O48,198
Ag16Te4S4O16,198
Co4Sb4S4,198
Tl8Fe8S12O48,198
Ge4Ru4,198
K8Zn8S12O48,198
Bi4Sb4Pt4,198
Na4Al4Si4O16,198
Si4Os4,198
Ce16Si16N24O20,198
Na12Ti4P12N4O36,198
Co4As4Se4,198
Cu8P16H144C48Cl8,198
K4Ti8P12O48,198
Ti8P12H28N4O52,198
Cu16Se8O32,198
K8Yb4Sn4P12O48,198
Na4Sr4P4H72S4O48,198
Ba4Na4In8P12O48,198
Na12Sb4Te12,198
Hg12As4Br4O16,198
As4P4Pt4,198
Ru4Se4S4,198
K8Ni8S12O48,198
Rb36Co8S28,198
Sb4Pt4S4,198
Cs8Ni8Mo12O48,198
Na4Ca4P4H72S4O48,198
Hg12P4Cl4O16,198
Sr32Ga32,198
Na12Mn4O16,198
Y4B12H120N24,198
Ba8Zr8Si12O48,198
Hg12P8S32,198
Cs8Mg8W12O48,198
K36Fe8Se28,198
Na12V4P12N4O36,198
Co4P4Se4,198
Cs8Mg4Zr4P12O48,198
Zr4Se4O4,198
